Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
Isaiah Whitehead,BRK,8,0,11.5,2.6,5.8,0.457,0.3,1,0.25,2.4,4.8,0.5,0.478,0.8,1.3,0.6,0.3,1.4,1.6,1.8,0.6,0.3,2.1,1.6,6.3
Hassan Whiteside,MIA,15,15,26.8,6.2,10.7,0.581,0.1,0.1,1,6.1,10.5,0.576,0.588,2.4,3.5,0.692,2.8,9.9,12.7,0.4,0.9,1.6,1.5,2.1,14.9
Andrew Wiggins,MIN,26,26,36.9,7,15.6,0.447,1.3,4.3,0.315,5.6,11.3,0.497,0.49,3.3,5.1,0.644,1,3,4,1.9,1.2,0.6,1.9,1.8,18.5
Jacob Wiley,BRK,4,0,8,0.3,1,0.25,0.3,0.5,0.5,0,0.5,0,0.375,0.3,0.5,0.5,0.5,2.3,2.8,0.5,0.3,0,0,1,1
Damien Wilkins,IND,13,0,6.2,0.6,1.3,0.471,0,0.5,0,0.6,0.8,0.8,0.471,0,0,0,0.3,0.5,0.8,0.5,0.2,0,0.3,0.3,1.2
C.J. Williams,LAC,11,1,9.7,1.2,2.6,0.448,0.3,0.7,0.375,0.9,1.9,0.476,0.5,0.1,0.2,0.5,0.1,0.8,0.9,0.9,0.2,0,0.4,0.5,2.7
Lou Williams,LAC,23,5,30,6.3,14.1,0.449,2.3,6,0.391,4,8.1,0.492,0.532,4,4.5,0.893,0.5,2.1,2.7,4.6,1,0.2,2.7,1.3,19
Marvin Williams,CHO,23,23,25.8,3.1,6.7,0.468,1.5,3.5,0.438,1.6,3.2,0.5,0.581,1.1,1.3,0.867,0.8,3.5,4.3,1,0.8,0.3,0.5,1.4,8.9
Troy Williams,HOU,4,0,4.3,0.5,2.3,0.222,0,1.3,0,0.5,1,0.5,0.222,0.3,0.8,0.333,0.3,0.8,1,0.3,0.3,0,0.3,0.5,1.3
D.J. Wilson,MIL,9,0,3.9,0.4,1,0.444,0,0.3,0,0.4,0.7,0.667,0.444,0,0,0,0,0.6,0.6,0.1,0,0,0.1,0.3,0.9
Jamil Wilson,LAC,5,1,13.2,2,4.2,0.476,1.6,3.6,0.444,0.4,0.6,0.667,0.667,0,0,0,0.6,0.6,1.2,1,0,0,0.4,1.2,5.6
Justise Winslow,MIA,24,15,23.1,2.7,6.5,0.414,0.5,1.5,0.314,2.3,5.1,0.443,0.449,0.7,1,0.667,1,4.5,5.6,1.9,0.7,0.3,1.1,1.9,6.5
Jeff Withey,DAL,9,0,4,0.6,1.6,0.357,0.2,1,0.222,0.3,0.6,0.6,0.429,0.1,0.2,0.5,0.1,0.9,1,0,0,0.3,0.2,0.3,1.4
Nate Wolters,UTA,4,0,2.8,0,0.8,0,0,0,0,0,0.8,0,0,0,0,0,0.3,0.3,0.5,0.3,0,0,0,0.3,0
Brandan Wright,MEM,16,0,14.3,2.2,3.9,0.556,0,0,0,2.2,3.9,0.556,0.556,0.9,1.4,0.652,1.3,2.2,3.4,0.3,0.5,1.1,0.2,1,5.3
Delon Wright,TOR,14,0,20.9,2.4,4.6,0.523,0.6,2,0.286,1.9,2.6,0.703,0.585,2.1,2.3,0.938,0.4,2,2.4,2.6,0.9,0.4,1.8,1.4,7.6
Guerschon Yabusele,BOS,8,0,4.8,0.8,1.9,0.4,0.4,1.1,0.333,0.4,0.8,0.5,0.5,0.3,0.3,1,0.9,0.8,1.6,0.5,0,0.1,0.4,0.6,2.1
Joe Young,IND,14,0,5.4,1.1,2.6,0.444,0.1,0.8,0.091,1.1,1.8,0.6,0.458,0.4,0.7,0.6,0.1,0.5,0.6,0.6,0.1,0,0.3,0.4,2.8
Nick Young,GSW,25,0,13.3,2.3,5.1,0.457,1.6,3.8,0.406,0.8,1.2,0.613,0.61,0.6,0.8,0.667,0.2,1.1,1.2,0.5,0.5,0.1,0.6,0.9,6.8
Thaddeus Young,IND,25,25,33.1,5.9,12,0.49,1.1,3.1,0.359,4.8,8.9,0.536,0.537,0.4,0.7,0.556,2,4.1,6.1,2,1.6,0.4,1.3,2.2,13.3
Cody Zeller,CHO,19,0,19.9,2.5,5,0.495,0.1,0.1,1,2.4,4.9,0.489,0.5,2.2,3.1,0.724,2.4,3.1,5.5,0.8,0.5,1.1,1.1,2.7,7.2
Tyler Zeller,BRK,16,8,18.4,3.4,5.4,0.621,0.2,0.5,0.375,3.2,4.9,0.646,0.638,1.4,2.3,0.611,1.6,2.8,4.4,0.7,0.4,0.6,1.1,1.9,8.3
Paul Zipser,CHI,20,7,16.6,1.7,5.3,0.324,0.6,2.3,0.267,1.1,3,0.367,0.381,0.1,0.3,0.333,0.3,3.1,3.4,1.1,0.4,0.2,0.9,1.6,4.1
Ante Zizic,CLE,9,0,3.6,0.3,0.9,0.375,0,0,0,0.3,0.9,0.375,0.375,0.6,0.8,0.714,0.4,0.7,1.1,0,0,0.3,0.2,0.4,1.2
Ivica Zubac,LAL,6,0,2.3,0.3,0.8,0.4,0,0,0,0.3,0.8,0.4,0.4,0,0,0,0.3,0.3,0.7,0,0,0,0.3,0.3,0.7
