Rk,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
130,Henry Ellenson,PF,DET,9,0,9.3,1.7,4.3,0.385,0.8,2.1,0.368,0.9,2.2,0.4,0.474,0.1,0.1,1,0.1,2.4,2.6,0.6,0.3,0,0.7,0.8,4.2
131,Wayne Ellington,SG,MIA,24,0,19.8,2.7,6.5,0.41,2.4,5.9,0.411,0.3,0.6,0.4,0.596,0.6,0.7,0.938,0.2,1.7,1.9,1,0.6,0,0.4,0.9,8.4
132,Joel Embiid,C,PHI,21,21,30.2,8.2,17,0.486,0.7,2.7,0.263,7.5,14.2,0.528,0.507,6.3,8,0.79,2.5,8.6,11.1,3.2,0.7,2,4,3.6,23.5
133,James Ennis,SF,MEM,23,14,25.4,2.5,5,0.509,0.6,1.9,0.326,1.9,3.1,0.62,0.57,1.4,1.5,0.914,1.1,2.5,3.7,1.1,0.7,0.2,0.8,1.9,7
134,Tyler Ennis,PG,LAL,11,0,5.4,0.7,1.9,0.381,0,0.4,0,0.7,1.5,0.471,0.381,0.4,0.4,1,0.1,0.6,0.7,0.8,0.4,0.1,0.4,0.5,1.8
135,Jawun Evans,PG,LAC,16,0,12.6,1.6,4.4,0.357,0.2,1,0.188,1.4,3.4,0.407,0.379,1.1,1.4,0.783,0.1,1.3,1.4,1.4,0.5,0.1,0.8,1.7,4.4
136,Tyreke Evans,SG,MEM,24,5,29.3,6.5,13.6,0.475,1.9,4.5,0.43,4.5,9.1,0.498,0.546,2.8,3.7,0.773,0.9,3.9,4.8,4,1,0.5,2,1.7,17.7
137,Kenneth Faried,PF,DEN,21,7,15,2.7,4.7,0.571,0,0,0,2.7,4.6,0.577,0.571,1.3,1.8,0.711,1.9,2.9,4.7,0.4,0.3,0.3,0.6,1.4,6.6
138,Derrick Favors,PF,UTA,26,26,27.8,5.2,9.3,0.56,0.2,0.6,0.25,5.1,8.7,0.581,0.568,2,2.8,0.722,2.3,4.4,6.7,1.8,0.8,1,1.5,2.2,12.6
139,Kay Felder,PG,CHI,13,0,10,1.5,5,0.308,0.3,1.4,0.222,1.2,3.6,0.34,0.338,0.8,0.9,0.917,0.1,1,1.1,1.5,0.2,0.1,1.2,0.8,4.2
140,Cristiano Felicio,C,CHI,20,0,15.3,1.8,2.9,0.621,0,0,,1.8,2.9,0.621,0.621,0.5,0.9,0.556,1.2,1.8,3,0.7,0.2,0.2,0.8,2.1,4.1
141,Raymond Felton,PG,OKC,24,0,16.7,2.7,6.2,0.436,0.7,2.1,0.34,2,4.1,0.485,0.493,0.5,0.7,0.688,0.2,1.5,1.7,2.3,0.7,0.1,0.6,1.1,6.6
142,Terrance Ferguson,SG,OKC,15,0,6.9,0.5,1.4,0.333,0.1,0.7,0.091,0.4,0.7,0.6,0.357,0.1,0.1,0.5,0.1,0.2,0.3,0.1,0.2,0.1,0.2,1,1.1
143,Yogi Ferrell,SG,DAL,25,8,28.1,3.2,7.6,0.416,1.4,3.8,0.372,1.8,3.8,0.458,0.508,1.6,2,0.804,0.3,2.5,2.8,1.9,0.8,0.1,1.3,2.1,9.4
144,Dorian Finney-Smith,PF,DAL,8,1,11.8,1.3,2.8,0.455,0.6,1.8,0.357,0.6,1,0.625,0.568,0.1,0.3,0.5,0.6,0.6,1.3,0.6,0,0.1,0.9,1.6,3.3
145,Bryn Forbes,SG,SAS,25,1,16.6,2.5,5.7,0.444,1.2,2.8,0.443,1.3,2.9,0.444,0.553,0.3,0.6,0.467,0.3,1,1.3,0.8,0.2,0.1,0.4,1.2,6.6
146,Evan Fournier,SF,ORL,26,26,32.5,6.7,14,0.478,2.3,5.5,0.415,4.4,8.5,0.518,0.559,2.7,3.1,0.864,0.5,2.7,3.2,3,1.1,0.3,1.9,2.4,18.3
147,De'Aaron Fox,PG,SAC,24,11,26.2,4.1,10.2,0.406,0.4,1.4,0.273,3.8,8.8,0.427,0.424,1.5,2.1,0.7,0.5,2.6,3.2,4.1,0.8,0.3,2.3,2.3,10.1
148,Tim Frazier,PG,WAS,25,9,18,1.5,3.6,0.427,0.4,1.2,0.323,1.1,2.3,0.483,0.483,0.6,0.6,0.875,0.3,2,2.3,3.7,1,0.1,1.5,1.9,4
149,Channing Frye,C,CLE,23,0,12.8,1.8,3.5,0.513,0.7,1.9,0.349,1.1,1.6,0.703,0.606,0.2,0.2,1,0.2,2.4,2.7,0.7,0.3,0.2,0.4,1.6,4.4
150,Markelle Fultz,SG,PHI,4,0,19,2.3,6.8,0.333,0,0,,2.3,6.8,0.333,0.333,1.5,3,0.5,0.8,1.5,2.3,1.8,0.5,0.3,1.5,1.5,6
151,Danilo Gallinari,SF,LAC,10,10,31.3,4,12,0.333,1.4,5.5,0.255,2.6,6.5,0.4,0.392,2.8,2.9,0.966,0.2,4.3,4.5,2.7,0.7,0.2,1.4,1.5,12.2
